speaker,season,episode,scene,utterance,text
Janice Litman Goralnik,1,10,7,45,"Oh my God. You listen to me, Chandler, you listen to me. One of these times is just gonna be your last chance with me."
Carol Willick,1,12,4,1,"Hey hey, come on in!"
Carol Willick,1,12,4,4,"Oh great! Is it vegetarian, 'cause Susan doesn't eat meat."
Carol Willick,1,12,4,6,"So, I got the results of the amnio today."
Carol Willick,1,12,4,8,Totally and completely healthy!
Carol Willick,1,12,4,11,"Uh, that's our friend Tanya."
Carol Willick,1,12,4,13,Don't you want to know about the sex?
Carol Willick,1,12,4,15,"The sex of the baby, Ross."
Carol Willick,1,12,4,17,Do you want to know?
Carol Willick,1,12,4,25,"Yes, we certainly do, it's going to be..."
Carol Willick,1,12,4,28,Mm-hmmm
Carol Willick,1,12,4,32,"Well, thanks for the books."
Carol Willick,1,12,4,35,Hello?
Janice Litman Goralnik,1,14,3,8,Oh.... my.... God.
Janice Litman Goralnik,1,14,6,3,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads."
Janice Litman Goralnik,1,14,6,5,"Oh, are you sure? Really? Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty."
Janice Litman Goralnik,1,14,6,21,Just us.
Janice Litman Goralnik,1,14,6,23,"Although, I have enjoyed the fact that, uh your shirt's been stickin' outta your zipper ever since you came back from the bathroom."
Janice Litman Goralnik,1,14,6,25,"So, do we have the best friends or what?"
Janice Litman Goralnik,1,14,6,27,I will go for that drink.
Janice Litman Goralnik,1,14,6,29,Each.
Janice Litman Goralnik,1,14,7,1,Happy Valentine's Day!
Janice Litman Goralnik,1,14,8,1,"Oh, I miss you already. Can you believe this happened?"
Janice Litman Goralnik,1,14,8,3,Kiss me!
Janice Litman Goralnik,1,14,8,8,"Hi, Monica."
Janice Litman Goralnik,1,14,8,19,This is so fun. This is like a reunion in the hall.
Janice Litman Goralnik,1,14,8,22,"Hi, Ross. Yes, it's me. How did you know?"
Janice Litman Goralnik,1,14,11,5,"Hello, funny Valentine."
Janice Litman Goralnik,1,14,11,7,"Hello, Joey, our little matchmaker. I could just kiss you all over, and I'm gonna!"
Carol Willick,1,14,12,3,Oh no. I thought you said they could shoot the spot without you.
Carol Willick,1,14,12,8,"Oh, no no no. I'm fine. I'm fine."
Janice Litman Goralnik,1,14,14,1,I brought you something.
Janice Litman Goralnik,1,14,14,3,I had them made special.
Janice Litman Goralnik,1,14,14,5,That's fine.
Janice Litman Goralnik,1,14,14,7,Mmm-hmm. Because I know that this isn't the end.
Janice Litman Goralnik,1,14,14,9,"No, it isn't, because you won't let that happen. Don't you know it yet? You love me, Chandler Bing."
Janice Litman Goralnik,1,14,14,11,Well then ask yourself this. Why do you think we keep ending up together? New Year's? Who invited who? Valentine's? Who asked who into whose bed?
Janice Litman Goralnik,1,14,14,13,"You seek me out. Something deep in your soul calls out to me like a foghorn. Janice, Janice. You want me. You need me. You can't live without me. And you know it. You just don't know you know it. See ya."
Carol Willick,1,14,15,1,It's not true. I never called your mother a wolverine.
Carol Willick,1,14,15,3,"Uh, I don't think she's in the bathroom. Her coat is gone."
Carol Willick,1,14,15,5,That could be it.
Carol Willick,1,14,15,7,"Mushroom. Smile. They won't all be like this. Some women might even stay through dinner. Sorry, that's not funny"
Carol Willick,1,14,15,10,"Oh, I love you too. But..."
Carol Willick,1,14,15,12,"You know that thing you put over here with the pin in it? It's time to take the pin out. You'll find someone, I know you will. The right woman is just waiting for you."
Carol Willick,1,14,15,14,All you need is a woman who likes men and you'll be set.
Carol Willick,1,14,15,16,Not her.
Carol Willick,1,16,3,6,Life partner.
Carol Willick,1,16,3,11,Susan and I live together.
Carol Willick,1,16,3,15,Its a little complicated.
Frank Buffay Jr.,1,16,9,8,"Look, youre cold, I have to pee, and... ..theres a cup of coffee on the window. How bad could it be?"
Frank Buffay Jr.,1,16,9,11,Whats she doing here?
Frank Buffay Jr.,1,16,9,13,Think she got fired at Riffs?
Frank Buffay Jr.,1,16,9,15,"Im gonna wait till after we order. Its her, right."
Frank Buffay Jr.,1,16,9,25,Err... we know what we want.
Frank Buffay Jr.,1,16,9,28,And some biscottie cookies.
Frank Buffay Jr.,1,16,9,32,Yeah.
Carol Willick,1,16,12,6,This is impossible. Its just impossible.
Carol Willick,1,16,12,8,"What that woman... did. I am not doin that. Its just gonna have to stay in, thats all, everything will be the same, itll just stay in."
Carol Willick,1,16,12,10,"Oh, what do you know? No one's going up to you and saying, ""Hi, is that your nostril? Mind if we push this pot roast through it?"""
Carol Willick,1,23,1,22,"I was looking at stuffed animals, and Susan wanted a Chunky."
Carol Willick,1,23,2,2,"Let it go, Ross."
Carol Willick,1,23,2,9,"Oh, I love them. Each one's like a little party in my uterus."
Carol Willick,1,23,2,13,Am I allowed to drink anything?
Carol Willick,1,23,2,20,Thanks.
Carol Willick,1,23,6,7,You're gonna kill me!
Carol Willick,1,23,6,9,Count faster.
Carol Willick,1,23,6,14,"Well, Jamie was the name of Susan's first girlfriend, so we went back to Jordie."
Carol Willick,1,23,6,16,"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp."
Carol Willick,1,23,6,21,"All right, that's it. I want both of you out."
Carol Willick,1,23,6,26,"I don't care. I am trying to get a person out of my body here, and you're not making it any easier."
Carol Willick,1,23,6,28,Now go!
Carol Willick,1,23,6,32,Out!
Carol Willick,1,23,10,1,Are they here yet?
Carol Willick,1,23,10,3,Ok.
Carol Willick,1,23,10,5,Ok.
Carol Willick,1,23,17,1,Where are they?
Carol Willick,1,23,17,10,But they're not here yet!
Carol Willick,1,23,17,12,"Oh, god."
Carol Willick,1,23,19,3,Where have you been?
Carol Willick,1,23,19,13,Not.... helping!
Carol Willick,1,23,19,19,What does he look like?
Carol Willick,1,23,19,21,Really?
Carol Willick,1,23,20,4,Ben. Ben. Ben's good. How come you never mentioned Ben before?
Frank Buffay Jr.,2,1,9,2,How long do you want the cuffs?
Frank Buffay Jr.,2,1,9,4,"I just got that. Ok, now we'll do your inseam."
Carol Willick,2,2,1,5,I guess so.
Carol Willick,2,2,1,15,Sure.
Carol Willick,2,2,1,17,"It did at first, but not anymore."
Carol Willick,2,2,1,20,As much as he needs.
Carol Willick,2,2,6,2,"Ok, and this is Funny Clown. Funny Clown is only for after his naps, not before his naps or he won't sleep."
Carol Willick,2,2,9,4,How did we do?
Carol Willick,2,2,9,7,Why'd you freak out?
Carol Willick,2,2,9,9,My breast milk is gross?
Carol Willick,2,2,9,13,"Ross, you're being silly. I've tried it, it's no big deal. Just taste it."
Janice Litman Goralnik,2,3,8,30,"Oh, my, god."
Janice Litman Goralnik,2,3,8,35,Helloo!!
Janice Litman Goralnik,2,3,8,38,"Hey, it's everybody."
Janice Litman Goralnik,2,3,8,40,"Yes, I am."
Janice Litman Goralnik,2,3,8,42,"Is it yours? Ha! You wish, Chandler Bing. You are looking at a married lady now."
Janice Litman Goralnik,2,3,8,44,"Oh, sweetie, I'm sorry."
Janice Litman Goralnik,2,3,8,46,And what? Missed the expression on your face? Janice likes to have her fun.
Carol Willick,2,11,1,3,So how did everything go?
Carol Willick,2,11,1,5,"Well, we've gotta go."
Carol Willick,2,11,1,8,"Oh, right. Um, I've got some news. It's about us."
Carol Willick,2,11,1,10,"Uh, no, Susan and me."
Carol Willick,2,11,1,13,"We're uh, we're getting married."
Carol Willick,2,11,1,15,"Anyway, we'd like you to come, but we totally understand if you don't want to."
Carol Willick,2,11,1,17,Look I just thought that...
Carol Willick,2,11,1,21,Want us to go?
Carol Willick,2,11,7,3,How's it going?
Carol Willick,2,11,7,5,"Fine, whatever."
Carol Willick,2,11,7,7,"Nothing. Ok, everything. I think we're calling off the wedding."
Carol Willick,2,11,7,11,My parents called this afternoon to say they weren't coming.
Carol Willick,2,11,7,13,"I mean, I knew they were having trouble with this whole thing, but they're my parents. They're supposed to give me away and everything."
Carol Willick,2,11,7,15,"And then Susan and I got in this big fight because I said maybe we should call off the wedding, and she said we weren't doing it for them, we were doing it for us, and if I couldn't see that, then maybe we should call off the wedding. I don't know what to do."
Carol Willick,2,11,7,17,You do?
Carol Willick,2,11,7,19,Of course I do.
Carol Willick,2,11,7,21,You're right. Of course you're right.
Carol Willick,2,11,7,23,We're back on.
Carol Willick,2,11,8,5,Thank you.
Carol Willick,2,11,8,7,Ross.
Judy Geller,2,14,4,4,Hi darling.
Judy Geller,2,14,4,7,"Well sweetie, we have a surprise for you. We're turning your room into a gym."
Judy Geller,2,14,4,11,"Oh, hi Rachel."
Judy Geller,2,14,4,13,"Oh, we were so sorry to hear about your parents splitting up, dear."
Judy Geller,2,14,8,4,"Hi, darling. Where's my grandson, you didn't bring him?"
Judy Geller,2,14,8,7,"Oh, Jack look, there's that house paint commercial that cracks you up."
Judy Geller,2,14,8,13,Why?
Judy Geller,2,14,8,15,You were fired? What're you gonna do?
Judy Geller,2,14,10,14,"Over here Jack. OK. I see, Rachel's coming up the path. Oh doesn't she look pretty. Jack, get this."
Judy Geller,2,14,10,23,Get a shot of Monica. Where's Monica.
Judy Geller,2,14,10,57,I have a wonderful idea. You should take Rachel to the prom.
Judy Geller,2,14,10,59,"Jack, give me that. Talk to your son."
Judy Geller,2,14,10,72,"Ahh, are you hadsome."
Judy Geller,2,14,10,77,"Oh, dear. Jack, how do I turn this off?"
Judy Geller,2,14,10,79,"Which one? Which button, Jack."
Judy Geller,2,14,11,2,Dance with him.
Judy Geller,2,14,11,4,Dance with your father.
Judy Geller,2,14,11,7,"Oh, Jack."
Richard Burke,2,15,3,4,"Ah, that's OK, come on in. Um, I'm sorry, is Monica Geller coming? I was told she was."
Richard Burke,2,15,3,6,"Monica? My God you used to be so. . . I mean you, you, you, you must have lost like. . . You look great."
Richard Burke,2,15,3,8,"Hi Phoebe, nice to meet you. So, how ya been?"
Richard Burke,2,15,3,10,"Oh, well obviously you know Barbara and I split up, otherwise you wouldn't have done the head tilt."
Richard Burke,2,15,3,12,"Yeah, since the divorce, when anybody asks me how I am, it's always with a sympathetic head tilt. 'How ya doin'? You OK?'"
Richard Burke,2,15,3,14,"No no, it, it's fine, believe me. I do it too. I always answer with the 'I'm OK' head bob. 'I'm OK.' 'You sure?' 'Yeah, I'm fine.' Hey listen, I've got to set up the music. I got a new CD changer, of course the divorce only left me with 4 CD's to change."
Richard Burke,2,15,3,16,I'll survive.
Richard Burke,2,15,5,3,"But they're so dull, they're all opthamologists."
Richard Burke,2,15,5,5,"Only because my parents wanted me to be, I wanted to be a sherrif."
Richard Burke,2,15,5,7,See.
Richard Burke,2,15,5,9,"OK. You better. Oh God, here we go. Hey wanna see 'em go nuts? Watch this. Who needs glasses?"
Richard Burke,2,15,8,2,I'm going to look into your eyes now.
Richard Burke,2,15,8,4,"Yeah, that's my job. Alright, look up. . . look down, now open your eyes, now look down. That's right, look into the light. Now look at me. . . OK. Your eyes look good. Those are good eyes."
Richard Burke,2,15,8,6,"So, it's great to see ya."
Richard Burke,2,15,8,8,You too.
Richard Burke,2,15,8,10,Drops!
Richard Burke,2,15,8,12,"Drops. Here, they're free."
Richard Burke,2,15,8,14,"Oh, OK, yeah. I'll see ya later."
Richard Burke,2,15,11,3,Yep.
Richard Burke,2,15,11,5,"Ya know, she's having another baby."
Richard Burke,2,15,11,7,"No no. Henry's almost two and he's talking and everyting. Here. You know, the other day he told me he liked me better than his other grandpa. Now in all fairness his other grandpa's a drunk but still. . ."
Richard Burke,2,15,11,9,Yeah. Are we nuts here?
Richard Burke,2,15,11,11,"I didn't need to know that. I guess 21 years is a lot. I mean, hell, I'm a whole person who can drink older than you."
Richard Burke,2,15,11,13,So.
Richard Burke,2,15,11,15,"Yeah, yeah, maybe."
Richard Burke,2,15,11,17,"Yeah, it sure does."
Richard Burke,2,15,11,19,"No, no, there's no rush or anything."
Judy Geller,2,16,3,5,Oh hi kids. Hi darling.
Richard Burke,2,16,3,9,Happy birthday.
Judy Geller,2,16,3,10,"Well, you kids thank Dr. Burke for the ride?"
Judy Geller,2,16,4,3,"No, Richard Burke gave them a ride."
Judy Geller,2,16,4,6,"Sooo, Richard's shopping in the junior section."
Judy Geller,2,16,4,8,We just know she's got the IQ of a napkin.
Richard Burke,2,16,6,4,I am not telling you guys anything.
Richard Burke,2,16,6,8,"Jack, would you let it go?"
Richard Burke,2,16,6,10,"Guys. Seriously, it is not like that."
Richard Burke,2,16,8,2,How ya doin'?
Richard Burke,2,16,8,4,Really? I'm a hero.
Richard Burke,2,16,8,6,"Yeah, I know. I hate it too. Look, maybe we should just tell them."
Richard Burke,2,16,8,8,My parents are dead.
Richard Burke,2,16,8,10,"I know, I know. Just hang in there, OK. OK, I'll go out first, alright."
Richard Burke,2,16,8,12,"Judy, going to the bathroom, good for you."
Judy Geller,2,16,8,13,"Thank you Richard, I appreciate the support."
Judy Geller,2,16,8,15,I have no idea. Did you know Richard has a twinkie in the city?
Judy Geller,2,16,8,17,I just never would have pictured Richard with a bimbo.
Judy Geller,2,16,8,19,Really.
Judy Geller,2,16,8,21,"So Jack, you ever think about trading me in for a younger model?"
Judy Geller,2,16,8,23,Oh Jack stop.
Judy Geller,2,16,10,3,Almost time for cake.
Richard Burke,2,16,11,3,What?
Richard Burke,2,16,11,5,"Humm, really?"
Judy Geller,2,16,11,6,Richard. Richard. Your son isn't seeing anyone is he?
Richard Burke,2,16,11,7,"Uhh, not that I know of."
Judy Geller,2,16,11,8,"Well, I was thinking, why doesn't he give Monica a call?"
Richard Burke,2,16,11,9,That - that's an idea.
Judy Geller,2,16,11,11,Oh?
Richard Burke,2,16,11,12,Oh?
Judy Geller,2,16,11,14,"She never tells us anything. Ross, did you know Monica's seeing someone?"
Judy Geller,2,16,11,16,"So, who's the mystery man?"
Judy Geller,2,16,11,18,A real doctor?
Judy Geller,2,16,11,20,Well that's wonderful. . . I
Richard Burke,2,16,11,22,It is Judy.
Judy Geller,2,16,11,23,Jack. Could you come in here for a moment? NOW!
Judy Geller,2,16,11,26,It seems your daughter and Richard are something of an item.
Richard Burke,2,16,11,30,She's not a twinkie.
Judy Geller,2,16,11,32,"Oh please, a relationship."
Richard Burke,2,16,11,34,Really?
Richard Burke,2,16,14,3,"No, it's been a long time since your dad and I went running."
Richard Burke,2,16,14,10,Very tasteful.
Richard Burke,2,16,14,15,What're we looking at? That blue freckle?
Richard Burke,2,18,4,3,"Phoebe's got another job, right?"
Richard Burke,2,18,4,7,"Um, we should go too, I got patients at 8 in the moring."
Richard Burke,2,18,4,9,"I don't know, I don't have my jammies."
Richard Burke,2,18,4,14,"Oh, thank you Phoebs. That's very sweet."
Richard Burke,2,18,4,16,"Hear that? She likes me best, and apparently there've been a lot."
Richard Burke,2,18,9,5,Night Richard. Good luck Mon.
Richard Burke,2,18,9,7,Two.
Richard Burke,2,18,9,9,"Well, I mean what can I say? I, I was married to Barbara for 30 years. She was my high school sweetheart, now you, that's two."
Richard Burke,2,18,9,11,"Woah, woah, no wait a minute now. C'mon it's your turn. Oh c'mon. Ya know, I don't need the actual number, just a ballpark."
Richard Burke,2,18,11,2,That's it? That's the giant number you were afraid to tell me?
Richard Burke,2,18,11,4,"Well, that's not bad at all. I mean, you had me thinkin it was like a fleet."
Richard Burke,2,18,11,6,"Oh honey, I'm fine."
Richard Burke,2,18,11,8,"What? Alright, what about my two?"
Richard Burke,2,18,11,10,"Right, and..."
Richard Burke,2,18,11,12,"Honey, you are not an oat. I, I mean I don't know, I, I guess I'm just not an oat guy. I've only slept with women I've been in love with."
Richard Burke,2,18,11,14,Right.
Richard Burke,2,18,11,16,Now I do.
Richard Burke,2,18,11,33,Monica.
Richard Burke,2,18,11,36,Hey. They're just trying to decide somehting.
Richard Burke,2,18,11,38,No.
Richard Burke,2,18,11,40,I have a little comb.
Richard Burke,2,18,11,42,A moustache comb.
Richard Burke,2,18,11,54,"No. You have got it completely wrong. John Savage was deerhunter, no legs, John Voit was coming home, couldn't feel his legs."
Richard Burke,2,18,11,58,Shall we?
Richard Burke,2,18,11,60,"Uh, in the future, if I could see the schedule beforehand..."
Richard Burke,2,18,15,4,Hey.
Richard Burke,2,18,15,6,"Ohh, brisk tonight."
Richard Burke,2,18,15,8,Let's never speak of this.
Richard Burke,2,20,1,3,Monica's making us watch Old Yeller.
Richard Burke,2,20,1,14,"Uh, Phoebe, I don't think your mom would want you to see what's about to happen."
Richard Burke,2,20,2,12,"Wow. Well being a huge Knicks fan myself, I think you should take someone who's a huge Knicks fan."
Richard Burke,2,20,2,14,Glad to be of help. Matches.
Carol Willick,2,20,3,3,Hello
Carol Willick,2,20,3,6,Hi honey.
Carol Willick,2,20,3,8,What?
Carol Willick,2,20,3,11,"Uhh, we know, he already did it last week."
Carol Willick,2,20,3,14,"Actually, he is getting closer on the talking thing. He can't quite say mama yet, but once he said yumen."
Richard Burke,2,20,4,24,"Hey, you're gettin' better. I'm gonna keep this by the way."
Carol Willick,2,20,5,3,"Uh, we're going down to Colonial Williamsburg."
Carol Willick,2,20,5,6,Think I better go before mommy starts weeping.
Richard Burke,2,20,7,3,"Hey Phoebs, what's happening?"
Richard Burke,2,20,7,7,Charlotte who?
Richard Burke,2,20,7,15,"Uh, the guy was Lou Gehrig. Didn't you kinda see it coming?"
Richard Burke,2,20,7,18,"Hey, be right there."
Richard Burke,2,20,7,21,It's the basketball playoffs.
Richard Burke,2,20,7,23,"Oh, no, honey, I mean, don't worry, I like hanging out with those guys. It's fun for me. They're different than my other friends, they don't start sentences with, 'You know who just died shoveling snow?'"
Richard Burke,2,20,7,25,"Uh, it's the college playoffs."
Richard Burke,2,20,7,27,"Uh, they're not in it."
Richard Burke,2,20,7,29,Ok.
Richard Burke,2,20,9,3,"But... he gets it back, pass to the middle, lines it up and... BAM! Yes! Could that shot BE any prettier?"
Richard Burke,2,20,9,5,"Well, we had a table in college."
Richard Burke,2,20,9,7,Nice moustache by the way. When puberty hits that thing's really gonna kick in.
Richard Burke,2,20,9,9,"Ok, just one more point."
Richard Burke,2,20,9,12,Is everything all right?
Richard Burke,2,20,9,14,Uh-oh.
Richard Burke,2,20,9,17,Well.
Richard Burke,2,20,9,19,"Uh, you guys see me as a dad?"
Richard Burke,2,20,9,24,"Uh-huh, yeah."
Richard Burke,2,20,9,26,"That's fine. Well, your other dad and I are gonna go have a romantic evening and I guess I'll just see you kids around."
Richard Burke,2,20,9,32,"Yeah, just, I feel like I'm about a hundred. I thought I was just one of the guys."
Richard Burke,2,20,9,34,"What're you talkin' about, I was killin' 'em."
Carol Willick,2,20,10,5,It's us.
Carol Willick,2,20,10,18,What did he say?
Carol Willick,2,20,10,21,Mommy is so proud of you. Hi. Hi.
Carol Willick,2,20,10,23,Hi.
Carol Willick,2,20,10,25,Hi.
Carol Willick,2,20,10,27,Hi.
Carol Willick,2,20,10,29,Hi.
Carol Willick,2,20,10,31,We've got a cab waiting downstairs.
Carol Willick,2,20,10,33,Tuesday.
Carol Willick,2,20,10,40,"We've gotta go, we've got that cab waiting."
Frank Buffay Jr.,2,21,10,12,Yeah. What?
Frank Buffay Jr.,2,21,10,18,Hey lady. Hey wait up. How do you know my dad?
Frank Buffay Jr.,2,21,10,20,Heavy.
Frank Buffay Jr.,2,21,10,22,No but he didn't really talk about anything.
Frank Buffay Jr.,2,21,10,24,Except stilts.
Frank Buffay Jr.,2,21,10,26,"Yeah, he loved stilts. One time I was upstairs, I was stealing cigarettes out of my mom's purse, and uh, all of a sudden I look over and there's my dad's head bobbing past the window. He just had this big smile on his face and he was waving 'cause he was always happiest when he was on his stilts."
Frank Buffay Jr.,2,21,10,28,Yeah.
Frank Buffay Jr.,2,21,10,30,Me neither. So you're like my big sister.
Frank Buffay Jr.,2,21,10,32,"This is huge, you can buy me beer."
Frank Buffay Jr.,2,21,10,34,I gotta friend named Mark.
Frank Buffay Jr.,2,21,10,36,"Cool, alright. So maybe, ya know, I could give you a call sometime, we could talk or somethin'."
Frank Buffay Jr.,2,21,10,38,Alright.
Frank Buffay Jr.,2,21,10,40,"Ok, yeah."
Frank Buffay Jr.,2,21,10,42,"Yeah hey, you know if you want I can take you around back and show you where he hit his head on the rain gutter."
Judy Geller,2,22,5,46,"Ross, whose glasses are those?"
Richard Burke,2,23,2,3,"Ooh, then I guess the panty raid last night was totally uncalled for. Ok, I am going to take a shower and today I will be singing Jim Crochee's Leroy Brown."
Richard Burke,2,23,2,4,"Monica... Hey Mon, I have a question. Is Leroy the baddest man in the whole damn town or the fattest man in the whole damn town?"
Richard Burke,2,23,2,6,What're you doing?
Richard Burke,2,23,2,8,Are you remaking the bed?
Richard Burke,2,23,2,10,"Then, you're redoing it because..."
Richard Burke,2,23,2,12,You're pretty much running that risk either way.
Richard Burke,2,23,2,14,"Oh, well that's not so crazy."
Richard Burke,2,23,2,16,"Oh, alright."
Richard Burke,2,23,2,18,"Actually, if it's possible, I love you more."
Richard Burke,2,23,9,2,"Ooh, duct tape. Was I supposed to bring something too?"
Richard Burke,2,23,9,4,You're strict.
Richard Burke,2,23,9,6,"You know, I like the way you have efficiently folded this tab under. See in a tape emergency you could shave valuable seconds off your time."
Richard Burke,2,23,9,8,"If it's not a right angle, it is a wrong angle."
Richard Burke,2,23,9,10,Thank you.
Richard Burke,2,23,9,12,You're gonna do what to my clocks.
Richard Burke,2,23,9,14,"Well, I'm confused. I thought we shared time."
Richard Burke,2,23,9,16,Because it's in a slightly different time zone than the kitchen.
Richard Burke,2,23,9,18,No come on. Come on tell me.
Richard Burke,2,23,9,20,Come on.
Richard Burke,2,23,9,22,No that's not true. That is not true.
Richard Burke,2,23,9,24,Yeah.
Richard Burke,2,23,9,26,"Ok. Ahh. One of my things is, I always separate my sweat socks from my dress socks."
Richard Burke,2,23,9,28,"Boy I would just uh, I would freak out."
Richard Burke,2,23,9,30,"See, if anyone overheard that, I didn't come off well."
Richard Burke,2,23,12,2,"Monica, wake up. Monica."
Richard Burke,2,23,12,4,I thought of a thing.
Richard Burke,2,23,12,6,"Yeah. I have to sleep, have to, on this side of the bed."
Richard Burke,2,23,12,8,Or so I would have you believe.
Richard Burke,2,23,12,10,"Hey come on, you haven't heard my reason yet."
Richard Burke,2,23,12,12,"Ok, I have to sleep on the west side because I grew up in California and otherwise the ocean would be on the wrong side."
Richard Burke,2,23,12,14,Yeah. How 'bout that.
Richard Burke,2,24,3,23,"Oh, yeah, I don't like you this way. All right, I'll see you guys later."
Richard Burke,2,24,3,26,"I love you, too."
Richard Burke,2,24,4,3,"Awww! You know that's probably why babies learn to talk, so they can tell grown ups to cut it out."
