text,speaker,season,episode,scene,utterance
"So, how ya doin?",Barry Farber,1,2,7,6
"Yeah, well..",Barry Farber,1,2,7,8
"Dr. Farber, Jason Greenstein's gagging.",Bernice,1,2,7,9
Be right there. Be back in a sec.,Barry Farber,1,2,7,10
Okay.,Robbie,1,2,7,13
Give me a 'for instance'.,Carol Willick,1,2,8,2
Marlon-,Carol Willick,1,2,8,4
"-if it's a boy, Minnie if it's a girl.",Carol Willick,1,2,8,6
As in my grandmother.,Carol Willick,1,2,8,8
Julia..,Carol Willick,1,2,8,10
We agreed on Minnie.,Susan Bunch,1,2,8,11
Sorry about that. So. What have you been up to?,Barry Farber,1,2,9,1
"Oh, that's great.",Barry Farber,1,2,9,3
"Oh, I, uh- I went to Aruba.",Barry Farber,1,2,9,5
"No. I went with, uh.. Now, this may hurt.",Barry Farber,1,2,9,7
Me?!,Robbie,1,2,9,8
No! I went with Mindy.,Barry Farber,1,2,9,9
"Yeah, well, uh, we're kind of a thing now.",Barry Farber,1,2,9,11
Careful! They haven't quite taken yet.,Barry Farber,1,2,9,13
"Not for her. Listen, I really wanted to thank you.",Barry Farber,1,2,9,15
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Barry Farber,1,2,9,17
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Barry Farber,1,2,9,19
Me.,Robbie,1,2,9,21
"Well, thank you for giving it back.",Barry Farber,1,2,9,23
Hello?!,Robbie,1,2,9,25
"Oh, please! What's wrong with Helen?",Susan Bunch,1,2,10,1
Hello? It's not gonna be Helen Geller.,Carol Willick,1,2,10,3
"No, I mean it's not Geller.",Carol Willick,1,2,10,5
"No, actually, um, we talked about Helen Willick-Bunch.",Carol Willick,1,2,10,7
It's my baby too.,Susan Bunch,1,2,10,9
"Yeah, and we all know what a challenge that is!",Susan Bunch,1,2,10,11
"All right, you two, stop it!",Carol Willick,1,2,10,12
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,Carol Willick,1,2,10,14
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",Susan Bunch,1,2,10,16
Knock knock!How are we today? Any nausea?,Dr. Oberman,1,2,10,18
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",Dr. Oberman,1,2,10,20
Look at that.,Susan Bunch,1,2,10,24
I know.,Carol Willick,1,2,10,25
"Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing. I mean, they're your friends, they're just looking out after you.",Paula,1,3,4,2
"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..",Paula,1,3,4,4
It's Alan.,Alan,1,3,5,15
Hi.,Alan,1,3,5,21
I've heard schho much about all you guyschh!,Alan,1,3,5,23
Yeah.,The Guys,1,3,5,34
"Hey, Weird Girl.",Lizzy,1,3,7,2
Did you pick out the vowels?,Lizzy,1,3,7,4
Saltines?,Lizzy,1,3,7,6
"What? Oh my God, there's really money in here.",Lizzy,1,3,7,8
"Weird Girl, what are you doing?",Lizzy,1,3,7,10
"No, no, I ha-I have to give you something.",Lizzy,1,3,7,12
Would you like my tin-foil hat?,Lizzy,1,3,7,14
"Please, let me do something.",Lizzy,1,3,7,16
Okay.,Lizzy,1,3,7,18
Keep the change. Sure you don't wanna pretzel?,Lizzy,1,3,8,1
See ya.,Lizzy,1,3,8,3
No.,Paula,1,3,10,2
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",Paula,1,3,10,4
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",Paula,1,3,10,6
"Well, he's a big boy, he'll get over it.",Paula,1,3,10,8
Wow.,Alan,1,3,13,1
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",Alan,1,3,13,3
"Yeah, well, I had a great time with you.. I just can't stand your friends.",Alan,1,3,13,5
Hockey! Hockey! Hockey.,Guys,1,4,2,48
Rachel?,Leslie,1,4,2,49
"Well, we were in the city shopping, and your mom said you work here, aaand it's true!",Kiki,1,4,2,53
Look at you in the apron. You look like you're in a play.,Joanne,1,4,2,54
I know. I know! I'm a duplex.,Leslie,1,4,2,56
"Well, guess who my dad's making partner in his firm?",Joanne,1,4,2,58
And while we're on the subject of news..,Kiki,1,4,2,59
"Well, the biggest news is still you dumping Barry at the altar!",Kiki,1,4,4,2
Alright. Let's talk reality for a second.,Joanne,1,4,4,3
When are you coming home?,Joanne,1,4,4,5
"C'mon, this is us.",Joanne,1,4,4,7
Waitressing?,Kiki,1,4,4,9
Well. Your mom didn't tell us about the blobbies.,Leslie,1,4,4,11
"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",Receptionist,1,4,9,2
"Hold on. Fill these out, sit over there.",Receptionist,1,4,9,4
"Well, you'll have to wait your turn.",Receptionist,1,4,9,6
Any minute now.,Receptionist,1,4,9,8
Pizza guy!,Pizza Guy,1,4,10,3
"Hi, one, uh, mushroom, green pepper and onion?",Pizza Guy,1,4,10,9
"Wait, you're not 'G.Stephanopoulos?' Man, my dad's gonna kill me!",Pizza Guy,1,4,10,11
"Yeah. This one goes across the street, I must have given him yours. Oh, bonehead, bonehead!",Pizza Guy,1,4,10,13
"Yeah, that sounds about right.",Pizza Guy,1,4,10,15
"No, pretty much just a towel.",Pizza Guy,1,4,10,18
So you guys want me to take this back?,Pizza Guy,1,4,10,20
"Hey, buddy.",Both,1,4,15,5
"Oh, that's attractive.",Receptionist,1,4,15,7
"I found it. Finders keepers, losers weepers.",Kid,1,4,15,12
No.,Kid,1,4,15,15
No! No!,Kid,1,4,15,17
Hey! Hey! No rough holding in my ER!,Receptionist,1,4,15,18
"Hi, Joey.",Angela Delveccio,1,5,2,26
Joey.,Angela Delveccio,1,5,2,32
That's because I'm wearing a dress that accents my boobs.,Angela Delveccio,1,5,2,34
Forget it Joey. I'm with Bob now.,Angela Delveccio,1,5,2,46
"Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call yourself an actor, but Bob...",Angela Delveccio,1,5,2,48
"Yeah, well, sorry, Joe. You said let's just be friends, so guess what?",Angela Delveccio,1,5,2,50
We're just friends.,Angela Delveccio,1,5,2,52
What four of us?,Angela Delveccio,1,5,2,54
"Hey, Joey.",Angela Delveccio,1,5,5,9
"Oh, my god, I am so glad you called me. I had the most supremely awful day.",Janice Litman Goralnik,1,5,6,9
"We got the proofs back from that photo shoot, you know, the one with the little vegetables. Anyway, they pretty much sucked, so, I blew off the rest of the day, and I went shopping... ... and I got you, I'm looking, I'm looking, I'm looking, I got you...",Janice Litman Goralnik,1,5,6,11
What?,Janice Litman Goralnik,1,5,6,14
I got you...these.,Janice Litman Goralnik,1,5,6,16
"Well, I knew you had the Rockys, and so I figured, you know, you can wear Bullwinkle and Bullwinkle, or you can wear Rocky and Rocky,or, you can mix and match, moose and squirrel. Whatever you want.",Janice Litman Goralnik,1,5,6,18
"No, no, I'm still working on mine.",Janice Litman Goralnik,1,5,6,22
"Comin' through. Move, move.",Woman,1,5,7,1
"Yeah, well, now you're kinda not.",Woman,1,5,7,3
"Oh, I'm sorry, is that your basket? It's really pretty. Unfortunately, I don't see suds.",Woman,1,5,7,5
"No suds, no save. Ok?",Woman,1,5,7,7
"Hey, hey, hey, her stuff wasn't in it.",Woman,1,5,7,16
Brooklyn Heights.,Angela Delveccio,1,5,8,2
Cleveland.,Bob,1,5,8,3
Yep. Pretty much.,Bob,1,5,9,2
"Huh, I never really noticed.",Bob,1,5,9,4
"Monica, Monica is great.",Bob,1,5,9,6
"Yeah, isn't he?",Angela Delveccio,1,5,10,2
You know what else? He's unbelievable in bed.,Angela Delveccio,1,5,10,4
Huh. That's nice.,Angela Delveccio,1,5,10,6
"All right. Well, there you go. Stop it, stop it, stop it.",Janice Litman Goralnik,1,5,11,4
Ow!,Janice Litman Goralnik,1,5,14,2
"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",Janice Litman Goralnik,1,5,14,4
"Yeah, well, I had a 24-inch waist. You lose things. Now come on, get outta my way.",Woman,1,5,15,5
"Hey, hey, hey there aren't any clothes in it.",Woman,1,5,15,8
Let go!,Woman,1,5,15,10
...Yes?,Aurora,1,6,2,23
"Yes, you said that.",Aurora,1,6,2,25
Chandler?,Aurora,1,6,2,27
"...Luckily none of the bullets hit the engine block. So, we made it to the border, but just barely, and I- ...I've been talking about myself all night long, I'm sorry. What about you? Tell me one of your stories.",Aurora,1,6,3,8
...All of a sudden we realised we were in Yammon.,Aurora,1,6,3,11
'We' would be me and Rick.,Aurora,1,6,3,13
My husband.,Aurora,1,6,3,16
No.,Aurora,1,6,3,19
"No, I'm still married.",Aurora,1,6,3,21
"Don't worry. I imagine he'd be okay with you because really, he's okay with Ethan.",Aurora,1,6,3,23
Mmmm... Ethan is my... boyfriend.,Aurora,1,6,3,25
I suppose mainly sexual.,Aurora,1,6,3,28
"...Dammit, hire the girl! Okay, everybody ready?",Director,1,6,6,1
Lose the robe.,Director,1,6,6,3
That would work.,Director,1,6,6,5
"Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.",Director,1,6,6,7
"And cut. Hey, Butt Guy, what the hell are you doing?",Director,1,6,6,9
"No, that was clenching.",Director,1,6,6,11
"I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?",Director,1,6,6,13
Thank you.,Aurora,1,6,7,2
"Oh my God, I'm late.",Aurora,1,6,7,4
Okay.,Aurora,1,6,7,6
"Okay. Oh no, I have to.",Aurora,1,6,7,8
I'm sorry. He'll be waiting for me.,Aurora,1,6,7,10
It's not Rick.,Aurora,1,6,7,12
"No, it's-it's Andrew.",Aurora,1,6,7,14
He's... new.,Aurora,1,6,7,16
"No, that's not exactly what I was..",Aurora,1,6,7,18
So what do you want?,Aurora,1,6,7,20
You have me!,Aurora,1,6,7,22
Whaddyou mean?,Aurora,1,6,7,24
"...Like, ...all of them?",Aurora,1,6,7,26
"Why can't we just have what we have now? Why can't we just talk, and laugh, and make love, without feeling obligated to one another... and up until tonight I thought that's what you wanted too.",Aurora,1,6,7,28
So... which one of the two guys will you listen to?,Aurora,1,6,7,30
Which one?,Aurora,1,6,7,32
"Well, call me if you change your mind.",Aurora,1,6,7,34
"Hi Mom, it's Jill.",Jill Goodacre,1,7,4,2
"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",Jill Goodacre,1,7,4,4
"I'm fine. No, I'm not alone... I don't know, some guy.",Jill Goodacre,1,7,4,6
Would you like to call somebody?,Jill Goodacre,1,7,6,6
Would you like some gum?,Jill Goodacre,1,7,9,1
"Sorry, it's not.",Jill Goodacre,1,7,9,3
"Er, yeah, it's mine.",Mr. Heckles,1,7,14,3
"Yeah, it's my cat. Give me my cat.",Mr. Heckles,1,7,14,5
Ehhhh... B-Buttons.,Mr. Heckles,1,7,14,7
"Mmm. Bob Buttons. Here, Bob Buttons.",Mr. Heckles,1,7,14,9
You owe me a cat.,Mr. Heckles,1,7,14,11
Monopoly!,Paolo,1,7,16,10
Are you alright?,Jill Goodacre,1,7,17,6
"My God, you're choking! That better?",Jill Goodacre,1,7,17,8
Perfection?,Jill Goodacre,1,7,17,10
Ross!,Paolo,1,7,18,16
Thing?,Paolo,1,7,18,19
"Ah, you... have the sex?",Paolo,1,7,18,21
Bed?,Paolo,1,7,18,23
Oh!,Paolo,1,7,18,25
Si.,Paolo,1,7,18,27
Poco... a leetle.,Paolo,1,7,18,29
No.,Paolo,1,7,18,31
"Chandler, we've been here for an hour doing this! Now watch, it's easy.",Jill Goodacre,1,7,19,1
Ready?,Jill Goodacre,1,7,19,3
"No, you've got to whip it.",Jill Goodacre,1,7,19,5
"Well, this has been fun.",Jill Goodacre,1,7,21,1
"Well, goodbye Chandler. I had a great blackout. See ya.",Jill Goodacre,1,7,21,3
"Question. You're not dating anybody, are you, because I met somebody who would be perfect for you.",Shelley,1,8,1,2
Do you want a date Saturday?,Shelley,1,8,1,4
"Okay. He's cute, he's funny, he's-",Shelley,1,8,1,6
"Well yeah! ...Oh God. I- just- I thought- Good, Shelley. I'm just gonna go flush myself down the toilet now... Okay, goodbye...",Shelley,1,8,1,8
The doctor says it's a matter of hours.,Aunt Lillian,1,8,3,2
"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?",Judy Geller,1,8,3,4
What's different?,Judy Geller,1,8,3,6
"Oh, maybe that's it.",Judy Geller,1,8,3,8
Mrs. Geller?,Nurse Sizemore,1,8,3,19
What is going on?!,Judy Geller,1,8,3,29
What?,Judy Geller,1,8,3,31
What's going on?,Aunt Lillian,1,8,3,33
She may have died?,Aunt Lillian,1,8,3,35
This almost never happens!,Nurse Sizemore,1,8,3,39
"Well, that doesn't mean she can't look nice!",Judy Geller,1,8,5,2
"Sweetie, you think you can get in there?",Judy Geller,1,8,5,4
"Hey. Look, I'm sorry about yesterday, I, um-",Shelley,1,8,7,2
Oh! Okay! Phew!,Shelley,1,8,7,4
"I dunno, uh... you just have a-a...",Shelley,1,8,7,6
"Y'know, it's a shame, because you and Lowell would've made a great couple.",Shelley,1,8,7,8
What? He's cute!,Shelley,1,8,7,10
Is Brian...?,Shelley,1,8,7,12
"Well, I think Brian's a little out of your league.",Shelley,1,8,7,14
No.,Aunt Lillian,1,8,8,2
"You know, whatever we pick, she would've told us it's the wrong one.",Aunt Lillian,1,8,8,4
You're right. We'll go with the burgundy.,Judy Geller,1,8,8,5
Wait! We need shoes!,Aunt Lillian,1,8,8,7
That's really a day shoe.,Judy Geller,1,8,8,10
Could we see something in a slimmer heel?,Aunt Lillian,1,8,8,12
"No, it really should be burgundy.",Aunt Lillian,1,8,8,14
Mm. Unless we go with a different dress?,Judy Geller,1,8,8,15
"Is everything all right, dear?",Judy Geller,1,8,8,19
"It really was. Oh, c'mere, sweetheart. Y'know, I think it might be time for you to start using night cream.",Judy Geller,1,8,10,2
"Here, sweetie, here. I took these when I had my golfing accident.",Judy Geller,1,8,11,6
"Sorry- Hi, I'm Dorothy's daughter.",Andrea,1,8,11,9
You were right.,Andrea,1,8,11,20
Your grandmother would have hated this.,Judy Geller,1,8,11,34
"No, I'd be hearing about 'Why didn't I get the honey-glazed ham?', I didn't spend enough on flowers, and if I spent more she'd be saying 'Why are you wasting your money? I don't need flowers, I'm dead'.",Judy Geller,1,8,11,36
Do you know what it's like to grow up with someone who is critical of every single thing you say?,Judy Geller,1,8,11,38
"I'm telling you, it's a wonder your mother turned out to be the positive, life-affirming person that she is.",Judy Geller,1,8,11,40
Tell her what?,Judy Geller,1,8,11,42
I'm not sure I know what you're getting at.,Judy Geller,1,8,11,44
...No. I think some things are better left unsaid. I think it's nicer when people just get along.,Judy Geller,1,8,11,46
"More wine, dear?",Judy Geller,1,8,11,48
Those earrings look really lovely on you.,Judy Geller,1,8,11,50
Actually they were Nana's.,Judy Geller,1,8,11,52
"Hey, Chandler.",Lowell,1,8,13,2
It's like Mardi Gras without the paper mache heads. How 'bout you?,Lowell,1,8,13,4
I know. That's what I told her.,Lowell,1,8,13,6
Yeah.,Lowell,1,8,13,8
"Pretty much, most of the time. We have a kind of... radar.",Lowell,1,8,13,10
"Speaking for my people, I'd have to say no. By the way, your friend Brian from Payroll, he is.",Lowell,1,8,13,12
"Yup, and waaay out of your league.",Lowell,1,8,13,14
An advance?,Terry,1,9,1,2
"Rachel, Rachel, sweetheart. You're a terrible, terrible waitress. Really, really awful.",Terry,1,9,1,4
Huh?,Guy,1,9,2,2
"No, she's at a faculty meeting.",Susan Bunch,1,9,3,2
What's it look like?,Susan Bunch,1,9,3,5
"Yes, I'm familiar with the concept. We can just look for it.",Susan Bunch,1,9,3,7
"Well, you know, you have to take a course. Otherwise, they don't let you do it.",Susan Bunch,1,9,3,9
"Actually, I'm reading it to the baby.",Susan Bunch,1,9,3,11
"What, you don't think they can hear sounds in there?",Susan Bunch,1,9,3,13
"Yeah, all the time. I want the baby to know my voice.",Susan Bunch,1,9,3,15
"Yeah, yeah, all the time.",Susan Bunch,1,9,3,17
"But um, we just refer to you as Bobo the Sperm Guy.",Susan Bunch,1,9,3,19
We did?,Girl,1,9,5,2
"Yeah, right.",Girl,1,9,5,4
Get out.,Girl,1,9,5,6
Really? You don't know what that means to me.,Girl,1,9,5,8
Nothing.,Girl,1,9,5,10
Yeah. Oh.,Girl,1,9,5,12
"I just remembered, I have to do something.",Girl,1,9,5,14
"Um, leave.",Girl,1,9,5,16
Anytime you're ready.,Carol Willick,1,9,9,1
Just aim for the bump.,Carol Willick,1,9,9,3
"So don't do it, it's fine. You don't have to do it just because Susan does it.",Carol Willick,1,9,9,5
"Look, you don't have to talk to it. You can sing to it if you want.",Carol Willick,1,9,11,2
"Hi, how's it goin?",Susan Bunch,1,9,11,5
I did.,Carol Willick,1,9,11,7
"No, no that was the first.",Carol Willick,1,9,11,9
Keep singing! Keep singing!,Susan Bunch,1,9,11,10
I felt it!,Susan Bunch,1,9,11,12
"No. No, that's- that's okay.",Max,1,10,2,31
Noth- I was- I was just saying to my-,David,1,10,2,34
"Sorry, I wa- I was just saying to my friend that I thought you were the most beautiful woman that I'd ever seen in my- in my life. And then he said that- you said you thought",David,1,10,2,36
Daryl Hannah.,Max,1,10,2,37
"Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a",David,1,10,2,38
Hard quality.,Max,1,10,2,39
"-hard quality. And uh, while Daryl Hannah is beautiful in a conventional way, you are luminous with a kind of a delicate grace. Then, uh, that-that-that's when you started yelling.",David,1,10,2,40
"...But, you can't actually test this theory, because today's particle accelerators are nowhere near powerful enough to simulate these conditions.",David,1,10,4,1
Yuh.,David,1,10,4,3
"Uh, that's definitely a, uh, valid question. And, uh, the answer would be yes. Yes I was. But, see, I wanted it to be this phenomenal kiss that happened at this phenomenal moment, because, well, 'cause it's you.",David,1,10,4,5
"Right. But, see, the longer I waited, the more phenomenal the kiss had to be, and now we've reached a place where it's just gotta be one of those things where I just like... sweep everything off the table and throw you down on it. And, uh, I'm not really a, uh, sweeping sorta fella.",David,1,10,4,7
Rrrreally.,David,1,10,4,9
...Now? Now?,David,1,10,4,11
"Okay, okay, okay. Y'know what, this was just really expensive. And I'll take- this was a gift.",David,1,10,4,13
"Okay, what the hell, what the hell. You want me to actually throw you or you-you wanna just hop?",David,1,10,4,15
Phoebe. Hi.,Max,1,10,5,30
No. Have you seen David?,Max,1,10,5,32
"Well, if you see him, tell him to pack his bags. We are going to Minsk.",Max,1,10,5,34
Minsk. It's in Russia.,Max,1,10,5,36
"We got the grant. Three years, all expenses paid.",Max,1,10,5,38
January first.,Max,1,10,5,40
Hey!,David,1,10,6,2
Hi! What-what're you doing here?,David,1,10,6,4
It'd be even more exciting if we were going.,Max,1,10,6,6
"Tell her, David. 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono. I wanna stay here and make out with my girlfriend!!'",Max,1,10,6,8
"Thank you, Max. Thank you.",David,1,10,6,9
I don't know. I don't know what I'm gonna do. I just- you decide.,David,1,10,6,11
Please.,David,1,10,6,13
"No, but I'm asking-",David,1,10,6,15
"No, but I can't-",David,1,10,6,17
-make the decision-,David,1,10,6,19
Stay.,David,1,10,6,21
It was Max's stuff.,David,1,10,6,25
"I love this artichoke thing! Oh, don't tell me what's in it, the diet starts tomorrow!",Janice Litman Goralnik,1,10,7,1
"Hi, I'm Sandy.",Sandy,1,10,7,6
"Yeah. That's okay, right?",Sandy,1,10,7,8
"Y'know, when I saw you at the store last week, it was probably the first time I ever mentally undressed an elf.",Sandy,1,10,7,23
Yeah.,Sandy,1,10,7,25
"There you are! Haaah, you got away from me!",Janice Litman Goralnik,1,10,7,29
"Here, Ross, take our picture. Smile! You're on Janice Camera!",Janice Litman Goralnik,1,10,7,31
"Hey, sorry I'm late. But my, uh, grandfather, he- died about two hours ago. But I-I-I couldn't get a flight out 'til tomorrow, so here I am!",Bobby Rush,1,10,7,36
"It's gonna be an open casket, y'know, so at least I'll- I get to see him again.",Bobby Rush,1,10,7,40
"Oh, I'm gonna blow this one up, and I'm gonna write 'Reunited' in glitter.",Janice Litman Goralnik,1,10,7,41
"Oh, no. Oh, no.",Janice Litman Goralnik,1,10,7,43
"Oh my God. You listen to me, Chandler, you listen to me. One of these times is just gonna be your last chance with me.",Janice Litman Goralnik,1,10,7,45
Yoko. I've decided to go to Minsk without you.,Max,1,10,7,50
Wow.,David,1,10,7,51
It won't be the same- but it'll still be Minsk. Happy New Year.,Max,1,10,7,52
"Yeah, I'm fine, I'm fine.",David,1,10,7,54
"No, I'm... not going to Minsk.",David,1,10,7,57
"Yes I can. Because if I go it means I have to break up with you, and I can't break up with you.",David,1,10,7,59
"Uh, ow.",David,1,10,7,61
I'll never forget you.,David,1,10,7,63
"Hi, this is Dick Clark, live in Times Square. We're in a virtual snowstorm of confetti here in Times Square...",Dick Clark,1,10,7,65
In twenty seconds it'll be midnight...,Dick Clark,1,10,7,74
Nice hat.,Guy,1,11,1,8
"Folks, when we come back we'll be talking about her new book, 'Euphoria Unbound': the always interesting Nora Tyler Bing. You might wanna put the kids to bed for this one.",Jay Leno,1,11,3,6
Bona sera.,Paolo,1,11,3,18
Ah! Nora Bing!,Paolo,1,11,3,24
...Now what is this about you-you being arrested i-in London? What is that all about?,Jay Leno,1,11,3,25
"...This is kind of embarrassing, but occasionally after I've been intimate with a man...",Nora Tyler Bing,1,11,3,28
...I just get this craving for Kung Pow Chicken.,Nora Tyler Bing,1,11,3,31
"Alright, so now you're doing this whole book tour thing, how is that going?",Jay Leno,1,11,3,33
"Oh, fine. I'm leaving for New York tomorrow, which I hate- but I get to see my son, who I love...",Nora Tyler Bing,1,11,3,34
"Y'know, don't take this wrong, I-I just don't see you a-as a mom, somehow.. I don't mean that, I don't mean that bad...",Jay Leno,1,11,3,37
"Oh no, I am a fabulous mom! I bought my son his first condoms.",Nora Tyler Bing,1,11,3,38
I am famished. What do I want...,Nora Tyler Bing,1,11,5,1
"Oh, you watched the show! What'd you think?",Nora Tyler Bing,1,11,5,3
"Oooh, c'mon, shut up, it's fun. Gimme a hug. Well, I think we're ready for some tequila.",Nora Tyler Bing,1,11,5,6
Who's doing shots?,Nora Tyler Bing,1,11,5,8
There y'go. Ross?,Nora Tyler Bing,1,11,5,11
"Oh, please, honey, listen, if I can do it, anybody can. You just start with half a dozen European cities, throw in thirty euphemisms for male genitalia, and bam! You have got yourself a book.",Nora Tyler Bing,1,11,5,20
"Yeah, any messages for room 226?",Nora Tyler Bing,1,11,5,23
"You okay there, slugger?",Nora Tyler Bing,1,11,5,25
What is with you tonight?,Nora Tyler Bing,1,11,5,27
"Okay, thank you. It's the Italian Hand-Licker, isn't it.",Nora Tyler Bing,1,11,5,29
She's supposed to be with you.,Nora Tyler Bing,1,11,5,31
"Oh, Ross, listen to me. I have sold a hundred million copies of my books, and y'know why?",Nora Tyler Bing,1,11,5,33
"No. Because I know how to write men that women fall in love with. Believe me, I cannot sell a Paolo. People will not turn three hundred twenty-five pages for a Paolo. C'mon, the guy's a secondary character, a, y'know, complication you eventually kill off.",Nora Tyler Bing,1,11,5,35
He's not a hero. ...You know who our hero is.,Nora Tyler Bing,1,11,5,37
"No, it's you!",Nora Tyler Bing,1,11,5,39
"No, really, c'mon. You're smart, you're sexy...",Nora Tyler Bing,1,11,5,41
"You are gonna be fine, believe me.",Nora Tyler Bing,1,11,5,43
"Ciao, bela.",Paolo,1,11,6,34
"Uh, a little woozy, but basically okay.",Coma Guy,1,11,10,5
I feel good! ...Who are you?,Coma Guy,1,11,10,7
"So, the Etch-a-Sketch is from you guys?",Coma Guy,1,11,10,12
"Well,... thanks.",Coma Guy,1,11,10,18
So. I guess I'll see you around.,Coma Guy,1,11,10,21
"Well, what do you want me to say?",Coma Guy,1,11,10,24
"Alright, I'll call you.",Coma Guy,1,11,10,26
