speaker,emotion,season,episode,scene,utterance,text
Monica Geller,Neutral,1,1,8,10,I know being spit on is probably not what you need right now. Um... how long?
Paul the Wine Guy,Neutral,1,1,8,11,Two years.
Monica Geller,Joyful,1,1,8,12,Wow! I'm-I'm-I'm glad you smashed her watch!
Paul the Wine Guy,Neutral,1,1,8,13,"So you still think you, um... might want that fifth date?"
Monica Geller,Neutral,1,1,8,14,"...Yeah. Yeah, I do."
Ross Geller,Peaceful,1,1,10,1,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
Joey Tribbiani,Scared,1,1,10,2,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
Chandler Bing,Joyful,1,1,10,3,"Angela's the screamer, Andrea has cats."
Joey Tribbiani,Peaceful,1,1,10,4,Right. Thanks. It's June. I'm outta here.
Ross Geller,Sad,1,1,10,5,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?"
Franny,Joyful,1,1,12,1,"Hey, Monica!"
Monica Geller,Neutral,1,1,12,2,"Hey Frannie, welcome back! How was Florida?"
Franny,Neutral,1,1,12,3,"You had sex, didn't you?"
Monica Geller,Neutral,1,1,12,4,How do you do that?
Franny,Mad,1,1,12,5,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?"
Monica Geller,Neutral,1,1,12,6,You know Paul?
Franny,Neutral,1,1,12,7,"Paul the Wine Guy? Oh yeah, I know Paul."
Monica Geller,Neutral,1,1,12,8,You mean you know Paul like I know Paul?
Franny,Neutral,1,1,12,9,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
Joey Tribbiani,Mad,1,1,13,1,Of course it was a line!
Monica Geller,Mad,1,1,13,2,"Why?! Why? Why, why would anybody do something like that?"
Ross Geller,Neutral,1,1,13,3,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
Monica Geller,Mad,1,1,13,4,I hate men! I hate men!
Phoebe Buffay,Peaceful,1,1,13,5,"Oh no, don't hate, you don't want to put that out into the universe."
Monica Geller,Mad,1,1,13,6,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
Phoebe Buffay,Peaceful,1,1,13,7,"All right, c'mere, gimme your feet."
Monica Geller,Sad,1,1,13,8,"I just thought he was nice, y'know?"
Joey Tribbiani,Joyful,1,1,13,9,I can't believe you didn't know it was a line!
Rachel Green,Neutral,1,1,13,11,Guess what?
Ross Geller,Neutral,1,1,13,12,You got a job?
Rachel Green,Mad,1,1,13,13,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
Chandler Bing,Neutral,1,1,13,14,And yet you're surprisingly upbeat.
Rachel Green,Joyful,1,1,13,15,"You would be too if you found John and David boots on sale, fifty percent off!"
Chandler Bing,Neutral,1,1,13,16,"Oh, how well you know me..."
Rachel Green,Joyful,1,1,13,17,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
Monica Geller,Neutral,1,1,13,18,How'd you pay for them?
Rachel Green,Neutral,1,1,13,19,"Uh, credit card."
Monica Geller,Neutral,1,1,13,20,And who pays for that?
Rachel Green,Neutral,1,1,13,21,Um... my... father.
Joey Tribbiani,Neutral,1,1,15,1,I can't believe what I'm hearing here.
Phoebe Buffay,Joyful,1,1,15,2,I can't believe what I'm hearing here...
Monica Geller,Scared,1,1,15,3,What? I-I said you had a-
Phoebe Buffay,Joyful,1,1,15,4,What I said you had...
Monica Geller,Mad,1,1,15,5,Would you stop?
Phoebe Buffay,Neutral,1,1,15,6,"Oh, was I doing it again?"
#ALL#,Mad,1,1,15,7,Yes!
Monica Geller,Peaceful,1,1,15,8,"I said that you had a nice butt, it's just not a great butt."
Joey Tribbiani,Joyful,1,1,15,9,"Oh, you wouldn't know a great butt if it came up and bit ya."
Ross Geller,Neutral,1,1,15,10,There's an image.
Rachel Green,Peaceful,1,1,15,11,Would anybody like more coffee?
Chandler Bing,Scared,1,1,15,12,"Did you make it, or are you just serving it?"
Rachel Green,Neutral,1,1,15,13,I'm just serving it.
#ALL#,Joyful,1,1,15,14,"Yeah. Yeah, I'll have a cup of coffee."
Chandler Bing,Peaceful,1,1,15,15,"Kids, new dream... I'm in Las Vegas."
Customer,Scared,1,1,15,16,"Ahh, miss? More coffee?"
Rachel Green,Mad,1,1,15,17,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas."
Chandler Bing,Neutral,1,1,15,18,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
Monica Geller,Joyful,1,2,1,1,"What you guys don't understand is, for us, kissing is as important as any part of it."
Joey Tribbiani,Neutral,1,2,1,2,"Yeah, right!.......Y'serious?"
Phoebe Buffay,Joyful,1,2,1,3,"Oh, yeah!"
Rachel Green,Powerful,1,2,1,4,Everything you need to know is in that first kiss.
Monica Geller,Powerful,1,2,1,5,Absolutely.
Chandler Bing,Joyful,1,2,1,6,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
Ross Geller,Neutral,1,2,1,7,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
Chandler Bing,Mad,1,2,1,8,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
Rachel Green,Sad,1,2,1,9,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
Joey Tribbiani,Joyful,1,2,1,10,....Are we still talking about sex?
Ross Geller,Scared,1,2,2,1,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
Marsha,Sad,1,2,2,2,"Well, she has issues."
Ross Geller,Scared,1,2,2,3,Does she.
Marsha,Mad,1,2,2,4,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
Ross Geller,Neutral,1,2,2,5,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
Marsha,Mad,1,2,2,6,"Speaking of issues, isn't that your ex-wife?"
Ross Geller,Scared,1,2,2,8,No. No.
Marsha,Joyful,1,2,2,9,"Yes, it is. Carol! Hi!"
Ross Geller,Scared,1,2,2,10,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
Ross Geller,Neutral,1,2,2,12,Hi.
Carol Willick,Neutral,1,2,2,13,So.
Ross Geller,Scared,1,2,2,14,"You look great. I, uh... I hate that."
Carol Willick,Joyful,1,2,2,15,Sorry. You look good too.
Ross Geller,Joyful,1,2,2,16,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
Carol Willick,Neutral,1,2,2,17,A lesbian?
Ross Geller,Peaceful,1,2,2,18,"Well... you never know. How's, um.. how's the family?"
Carol Willick,Mad,1,2,2,19,"Marty's still totally paranoid. Oh, and, uh-"
Ross Geller,Scared,1,2,2,20,"Why- why are you here, Carol?"
Carol Willick,Neutral,1,2,2,21,I'm pregnant.
Ross Geller,Scared,1,2,2,22,Pregnant?!
Ross Geller,Neutral,1,2,6,1,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
Susan Bunch,Neutral,1,2,6,3,Hi.
Carol Willick,Neutral,1,2,6,4,"Ross, you remember Susan."
Ross Geller,Mad,1,2,6,5,How could I forget?
Susan Bunch,Neutral,1,2,6,6,Ross.
Ross Geller,Neutral,1,2,6,7,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?"
Carol Willick,Neutral,1,2,6,8,Dr. Oberman.
Ross Geller,Neutral,1,2,6,9,..Dr. Oberman. Okay. And is he-
Susan Bunch,Neutral,1,2,6,10,She.
Ross Geller,Neutral,1,2,6,11,"-she, of course, she- uh- familiar with our.. special situation?"
Carol Willick,Neutral,1,2,6,12,"Yes, and she's very supportive."
Ross Geller,Neutral,1,2,6,13,"Okay, that's great. No, I'm- Oh."
Carol Willick,Neutral,1,2,6,14,Thanks.
Ross Geller,Joyful,1,2,6,15,"Quack, quack.."
Carol Willick,Scared,1,2,6,16,Ross? That opens my cervix.
Rachel Green,Neutral,1,2,7,1,Barry?
Barry Farber,Neutral,1,2,7,2,C'mon in.
Rachel Green,Scared,1,2,7,3,Are you sure?
Barry Farber,Neutral,1,2,7,4,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
Robbie,Scared,1,2,7,5,Huh?!
Barry Farber,Peaceful,1,2,7,6,"So, how ya doin?"
Rachel Green,Sad,1,2,7,7,I'm- uh- I'm okay... You look great!
Barry Farber,Neutral,1,2,7,8,"Yeah, well.."
Bernice,Neutral,1,2,7,9,"Dr. Farber, Jason Greenstein's gagging."
Barry Farber,Neutral,1,2,7,10,Be right there. Be back in a sec.
Rachel Green,Sad,1,2,7,12,I dumped him.
Robbie,Neutral,1,2,7,13,Okay.
Ross Geller,Scared,1,2,8,1,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
Carol Willick,Mad,1,2,8,2,Give me a 'for instance'.
Ross Geller,Scared,1,2,8,3,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
Carol Willick,Powerful,1,2,8,4,Marlon-
Ross Geller,Mad,1,2,8,5,Marlon?!
Carol Willick,Powerful,1,2,8,6,"-if it's a boy, Minnie if it's a girl."
Ross Geller,Mad,1,2,8,7,...As in Mouse?
Carol Willick,Neutral,1,2,8,8,As in my grandmother.
Ross Geller,Scared,1,2,8,9,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
Carol Willick,Neutral,1,2,8,10,Julia..
Susan Bunch,Powerful,1,2,8,11,We agreed on Minnie.
Ross Geller,Powerful,1,2,8,12,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
Barry Farber,Neutral,1,2,9,1,Sorry about that. So. What have you been up to?
Rachel Green,Scared,1,2,9,2,"Oh, not much. I-I got a job."
Barry Farber,Joyful,1,2,9,3,"Oh, that's great."
Rachel Green,Scared,1,2,9,4,Why are- why are you so tanned?
Barry Farber,Scared,1,2,9,5,"Oh, I, uh- I went to Aruba."
Rachel Green,Mad,1,2,9,6,Oh no. You went on our honeymoon alone?
Barry Farber,Neutral,1,2,9,7,"No. I went with, uh.. Now, this may hurt."
Robbie,Neutral,1,2,9,8,Me?!
Barry Farber,Scared,1,2,9,9,No! I went with Mindy.
Rachel Green,Mad,1,2,9,10,"Mindy?! My maid of honour, Mindy?!"
Barry Farber,Scared,1,2,9,11,"Yeah, well, uh, we're kind of a thing now."
Rachel Green,Mad,1,2,9,12,"Oh! Well, um.. You've got plugs!"
Barry Farber,Mad,1,2,9,13,Careful! They haven't quite taken yet.
Rachel Green,Mad,1,2,9,14,And you've got lenses! But you hate sticking your finger in your eye!
Barry Farber,Peaceful,1,2,9,15,"Not for her. Listen, I really wanted to thank you."
Rachel Green,Mad,1,2,9,16,Okay..
Barry Farber,Neutral,1,2,9,17,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist."
Rachel Green,Scared,1,2,9,18,Wow.
Barry Farber,Joyful,1,2,9,19,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
Rachel Green,Scared,1,2,9,20,What?
Robbie,Sad,1,2,9,21,Me.
Rachel Green,Sad,1,2,9,22,"Anyway, um, I guess this belongs to you. And thank you for giving it to me."
Barry Farber,Sad,1,2,9,23,"Well, thank you for giving it back."
Robbie,Scared,1,2,9,25,Hello?!
Susan Bunch,Mad,1,2,10,1,"Oh, please! What's wrong with Helen?"
Ross Geller,Mad,1,2,10,2,Helen Geller? I don't think so.
Carol Willick,Powerful,1,2,10,3,Hello? It's not gonna be Helen Geller.
Ross Geller,Powerful,1,2,10,4,Thank you!
Carol Willick,Powerful,1,2,10,5,"No, I mean it's not Geller."
Ross Geller,Mad,1,2,10,6,"What, it's gonna be Helen Willick?"
Carol Willick,Neutral,1,2,10,7,"No, actually, um, we talked about Helen Willick-Bunch."
Ross Geller,Mad,1,2,10,8,"Well, wait a minute, wha- why is she in the title?"
Susan Bunch,Powerful,1,2,10,9,It's my baby too.
Ross Geller,Mad,1,2,10,10,"Oh, 's'funny, really? Um, I don't remember you making any sperm."
Susan Bunch,Mad,1,2,10,11,"Yeah, and we all know what a challenge that is!"
Carol Willick,Mad,1,2,10,12,"All right, you two, stop it!"
Ross Geller,Mad,1,2,10,13,"No no no, she gets a credit, hey, I'm in there too."
Carol Willick,Neutral,1,2,10,14,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.
Ross Geller,Powerful,1,2,10,15,"Of course not, I'm... suggesting Geller-Willick-Bunch."
Susan Bunch,Mad,1,2,10,16,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!"
Ross Geller,Mad,1,2,10,17,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-"
Dr. Oberman,Neutral,1,2,10,18,Knock knock!How are we today? Any nausea?
#ALL#,Neutral,1,2,10,19,Yeah. Yeah. A little.
Dr. Oberman,Neutral,1,2,10,20,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back.."
Ross Geller,Sad,1,2,10,21,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now."
Ross Geller,Joyful,1,2,10,23,Oh my God.
Susan Bunch,Joyful,1,2,10,24,Look at that.
Carol Willick,Joyful,1,2,10,25,I know.
Ross Geller,Joyful,1,2,11,1,Well? Isn't that amazing?
Joey Tribbiani,Neutral,1,2,11,2,What are we supposed to be seeing here?
Chandler Bing,Joyful,1,2,11,3,"I dunno, but.. I think it's about to attack the Enterprise."
Phoebe Buffay,Joyful,1,2,11,4,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato."
Ross Geller,Mad,1,2,11,5,"Then don't do that, alright?"
Phoebe Buffay,Neutral,1,2,11,6,Okay!
Ross Geller,Neutral,1,2,11,7,Monica. Whaddya think?
Monica Geller,Sad,1,2,11,8,Mm-hmm.
Ross Geller,Neutral,1,2,11,9,Wh- are you welling up?
Monica Geller,Neutral,1,2,11,10,No.
Ross Geller,Powerful,1,2,11,11,"You are, you're welling up."
Monica Geller,Mad,1,2,11,12,Am not!
Ross Geller,Joyful,1,2,11,13,You're gonna be an aunt.
Monica Geller,Joyful,1,2,11,14,Oh shut up!
Rachel Green,Mad,1,2,11,15,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now."
Phoebe Buffay,Joyful,1,3,1,1,Hi guys!
#ALL#,Joyful,1,3,1,2,"Hey, Pheebs! Hi!"
Ross Geller,Joyful,1,3,1,3,"Hey. Oh, oh, how'd it go?"
Phoebe Buffay,Sad,1,3,1,4,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
#ALL#,Sad,1,3,1,5,Ohh. Ouch.
Rachel Green,Neutral,1,3,1,6,"What? He said 'we should do it again', that's good, right?"
Monica Geller,Neutral,1,3,1,7,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'."
Rachel Green,Neutral,1,3,1,8,Since when?
Joey Tribbiani,Neutral,1,3,1,9,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'."
Chandler Bing,Neutral,1,3,1,10,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
Phoebe Buffay,Mad,1,3,1,11,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'."
Rachel Green,Neutral,1,3,1,12,And everybody knows this?
Joey Tribbiani,Neutral,1,3,1,13,Yeah. Cushions the blow.
Chandler Bing,Neutral,1,3,1,14,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
Ross Geller,Neutral,1,3,1,15,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm."
Monica Geller,Neutral,1,3,1,16,"Uh, Ross."
Ross Geller,Scared,1,3,1,17,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!"
Chandler Bing,Neutral,1,3,2,1,"""So how does it feel knowing you're about to die?"""
Joey Tribbiani,Peaceful,1,3,2,2,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""
Chandler Bing,Joyful,1,3,2,3,"Hey, that was really good!"
Joey Tribbiani,Powerful,1,3,2,4,Thanks! Let's keep going.
Chandler Bing,Neutral,1,3,2,5,"Okay. ""So. Whaddya want from me, Damone, huh?"""
Joey Tribbiani,Neutral,1,3,2,6,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke."""
Chandler Bing,Neutral,1,3,2,7,"""Smoke away."""
Chandler Bing,Neutral,1,3,2,9,I think this is probably why Damone smokes in his cell alone.
Joey Tribbiani,Scared,1,3,2,10,What?
Chandler Bing,Powerful,1,3,2,11,Relax your hand!
Chandler Bing,Powerful,1,3,2,13,Not so much!
Joey Tribbiani,Scared,1,3,2,14,Whoah!
Chandler Bing,Powerful,1,3,2,15,Hey!
Joey Tribbiani,Powerful,1,3,2,16,Hey!
Chandler Bing,Neutral,1,3,2,17,"Alright, now try taking a puff."
Chandler Bing,Neutral,1,3,2,19,Alright.. okay. No. Give it to me.
Joey Tribbiani,Neutral,1,3,2,20,"No no no, I am not giving you a cigarette."
Chandler Bing,Powerful,1,3,2,21,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
Chandler Bing,Powerful,1,3,2,23,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
Joey Tribbiani,Neutral,1,3,2,24,Y'miss it?
Chandler Bing,Scared,1,3,2,25,"Nah, not so much. Alright, now we smoke. Oh.. my.. God."
Monica Geller,Neutral,1,3,6,1,Hi.. how was the game?
Ross Geller,Neutral,1,3,6,2,Well..
#ALL#,Joyful,1,3,6,3,WE WON!! Thank you! Yes!
Monica Geller,Joyful,1,3,6,4,Fantastic! I have one question: How is that possible?
Joey Tribbiani,Neutral,1,3,6,5,Alan.
Ross Geller,Joyful,1,3,6,6,"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-..."
Rachel Green,Sad,1,3,6,7,"I mean, it-it was like, it was like he made us into a team."
Chandler Bing,Joyful,1,3,6,8,"Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
Monica Geller,Scared,1,3,6,9,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..
Ross Geller,Neutral,1,3,6,10,What?
Monica Geller,Neutral,1,3,6,11,"..I dunno, a little too Alan?"
Rachel Green,Mad,1,3,6,12,"Well, no. That's impossible. You can never be too Alan."
Ross Geller,Joyful,1,3,6,13,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore."
Chandler Bing,Joyful,1,3,6,14,I personally could have a gallon of Alan.
Phoebe Buffay,Neutral,1,3,7,1,"Hey, Lizzie."
Lizzy,Neutral,1,3,7,2,"Hey, Weird Girl."
Phoebe Buffay,Neutral,1,3,7,3,I brought you alphabet soup.
Lizzy,Neutral,1,3,7,4,Did you pick out the vowels?
Phoebe Buffay,Neutral,1,3,7,5,"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you."
Lizzy,Neutral,1,3,7,6,Saltines?
Phoebe Buffay,Neutral,1,3,7,7,"No, but would you like a thousand dollars and a football phone?"
Lizzy,Joyful,1,3,7,8,"What? Oh my God, there's really money in here."
Phoebe Buffay,Neutral,1,3,7,9,I know.
Lizzy,Neutral,1,3,7,10,"Weird Girl, what are you doing?"
Phoebe Buffay,Neutral,1,3,7,11,"No, I want you to have it. I don't want it."
Lizzy,Neutral,1,3,7,12,"No, no, I ha-I have to give you something."
Phoebe Buffay,Neutral,1,3,7,13,"Oh, that's fine, no."
Lizzy,Joyful,1,3,7,14,Would you like my tin-foil hat?
Phoebe Buffay,Neutral,1,3,7,15,"No. 'Cause you need that. No, it's okay, thanks."
Lizzy,Neutral,1,3,7,16,"Please, let me do something."
Phoebe Buffay,Neutral,1,3,7,17,"Okay, alright, you buy me a soda, and then we're even. Okay?"
Lizzy,Neutral,1,3,7,18,Okay.
Phoebe Buffay,Neutral,1,3,7,19,Okay.
Ross Geller,Neutral,1,3,9,1,A thumb?!
#ALL#,Scared,1,3,9,3,Eww!
Phoebe Buffay,Mad,1,3,9,4,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!"
Chandler Bing,Neutral,1,3,9,5,"Well, maybe it's a contest, y'know? Like, collect all five?"
Phoebe Buffay,Neutral,1,3,9,6,"Does, um, anyone wanna see?"
#ALL#,Scared,1,3,9,7,Nooo!
#ALL#,Scared,1,3,9,9,"Oh, hey, don't do that! Cut it out!"
Rachel Green,Scared,1,3,9,10,It's worse than the thumb!
Chandler Bing,Neutral,1,3,9,11,"Hey, this is so unfair!"
Monica Geller,Neutral,1,3,9,12,"Oh, why is it unfair?"
Chandler Bing,Scared,1,3,9,13,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
Joey Tribbiani,Sad,1,3,9,15,...Does the knuckle-cracking bother everybody?
Rachel Green,Neutral,1,3,9,16,"Well, I-I could live without it."
Joey Tribbiani,Neutral,1,3,9,17,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?"
Ross Geller,Joyful,1,3,9,19,"Oh, now, don't listen to him, Pheebs, I think it's endearing."
Joey Tribbiani,Joyful,1,3,9,20,"Oh, ""you do, do you""?"
Ross Geller,Neutral,1,3,9,22,"You know, there's nothing wrong with speaking correctly."
Rachel Green,Neutral,1,3,9,23,"""Indeed there isn't""... I should really get back to work."
Phoebe Buffay,Neutral,1,3,9,24,"Yeah, 'cause otherwise someone might get what they actually ordered."
Rachel Green,Mad,1,3,9,25,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on."
Monica Geller,Neutral,1,3,10,1,Did you ever go out with a guy your friends all really like?
Paula,Neutral,1,3,10,2,No.
Monica Geller,Peaceful,1,3,10,3,"Okay.. Well, I'm going out with a guy my friends all really like."
Paula,Joyful,1,3,10,4,"Waitwait.. we talking about the coyotes here? All right, a cow got through!"
Monica Geller,Scared,1,3,10,5,"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing."
Paula,Powerful,1,3,10,6,"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!"
Monica Geller,Sad,1,3,10,7,I know.. it's gonna be really hard.
Paula,Powerful,1,3,10,8,"Well, he's a big boy, he'll get over it."
Monica Geller,Sad,1,3,10,9,"No, he'll be fine. It's the other five I'm worried about."
Joey Tribbiani,Neutral,1,3,11,1,Do you have any respect for your body?
Ross Geller,Mad,1,3,11,2,Don't you realise what you're-you're doing to yourself?
Chandler Bing,Mad,1,3,11,3,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it."
Rachel Green,Neutral,1,3,11,4,"Chandler? It's Alan, he wants to speak to you."
